;Inhabitants;;;;;;;;;;;;;Households;;;;;;Home;;;;;;;;;;;;;;;Social Security
6211GR;30;15;20;0;20;10;0;0;40;0;0;40;20;30;25;0;0;0;1,1;15;15;0;0;0;0;0;0;0;15;0;0;0;5;333;0
6211GS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6211GT;25;10;15;0;15;5;0;0;40;0;0;20;30;20;20;0;0;0;1,2;25;25;0;0;0;0;0;0;0;20;0;0;0;0;185;0
6211GV;35;20;15;0;15;10;5;0;60;0;0;20;20;25;20;5;0;0;1,4;20;20;0;0;0;0;0;0;0;20;0;0;0;5;274;0
6211GW;40;20;20;0;25;5;5;0;50;0;0;30;0;35;30;0;0;0;1,2;25;25;0;0;0;0;0;0;0;25;30;70;5;10;240;0
6211GX;90;45;50;0;40;35;10;0;30;10;10;40;10;70;55;15;0;0;1,3;50;50;0;0;0;0;0;0;0;50;0;90;0;5;276;0
6211GZ;25;15;10;0;10;10;0;0;80;0;0;0;0;20;15;0;0;0;1,2;20;15;0;0;0;0;0;0;0;20;0;0;0;0;223;0
6211HA;40;15;25;0;10;15;5;5;50;0;0;40;0;30;20;5;0;0;1,4;30;30;0;0;0;0;0;0;0;25;20;80;10;10;374;5
6211HB;15;0;15;0;15;0;0;0;40;0;0;50;0;10;10;0;0;0;1,4;10;10;0;0;0;0;0;0;0;10;0;80;0;5;341;0
6211HC;50;25;25;0;20;25;5;0;40;0;0;30;10;35;25;10;0;0;1,4;45;45;0;0;0;0;0;0;0;40;0;90;0;10;267;0
6211HD;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6211HE;20;5;10;0;0;10;0;5;70;0;0;0;0;15;15;0;0;0;1,2;30;25;0;0;0;0;0;0;0;20;0;0;0;15;324;0
6211HH;15;5;10;0;0;0;5;0;70;0;0;0;0;5;0;0;0;0;2,7;10;10;0;0;0;0;0;0;0;0;0;0;0;0;798;0
6211HK;45;20;25;0;15;15;5;5;50;0;0;30;0;30;20;5;0;0;1,5;25;20;0;0;5;0;0;0;0;15;40;60;0;0;534;0
6211HL;25;15;10;0;10;0;5;5;80;0;0;0;0;10;5;0;0;0;1,9;15;15;0;0;0;0;0;0;0;5;50;0;0;0;452;0
6211HM;30;15;15;0;5;10;5;5;50;0;0;40;0;25;20;5;0;0;1,2;15;10;0;0;0;0;0;0;0;0;50;50;0;0;435;0
6211HN;25;10;10;0;5;15;0;0;60;0;0;20;0;20;15;5;0;0;1,3;20;5;0;0;15;0;0;0;0;15;0;80;10;0;253;0
6211HP;5;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;1,4;10;10;0;0;0;0;0;0;0;5;60;0;0;5;327;0
6211HR;30;10;20;0;20;5;0;0;50;0;0;40;0;25;15;5;0;0;1,3;20;20;0;0;0;0;0;0;0;20;0;0;0;5;210;0
6211HT;40;20;20;0;15;10;5;10;40;0;0;40;10;30;20;5;0;0;1,4;25;20;0;0;0;0;0;0;0;20;30;50;0;10;428;0
6211HV;35;15;15;0;10;15;0;0;30;0;0;50;20;30;30;0;0;0;1,1;35;35;0;0;0;0;0;0;0;35;0;90;0;0;176;0
6211HW;30;15;15;0;15;10;0;0;40;0;0;40;0;25;15;5;0;0;1,3;20;20;0;0;0;0;0;0;0;15;30;70;0;0;301;0
6211HX;40;15;20;0;15;10;0;10;40;0;0;30;20;25;10;10;0;0;1,7;20;20;0;0;0;0;0;0;0;20;50;50;0;0;318;0
6211HZ;25;10;15;0;5;0;0;10;60;0;0;30;0;15;10;5;0;0;1,4;20;0;0;0;20;0;0;0;0;20;50;50;0;5;281;0
6211JA;55;25;25;0;15;15;10;15;50;10;0;30;10;35;25;5;0;0;1,6;40;35;0;0;0;0;0;0;0;25;30;70;20;10;350;0
6211JB;15;10;5;0;0;5;5;0;60;0;0;0;30;10;10;0;0;0;1,3;15;5;0;0;0;10;0;0;0;15;50;40;0;5;519;0
6211JC;110;55;55;0;55;30;10;10;50;0;10;20;20;95;90;5;0;0;1,1;100;70;0;0;10;20;0;0;0;85;10;90;65;10;179;10
6211JD;35;15;20;0;0;10;5;10;80;0;0;0;0;20;15;10;0;0;1,5;30;30;0;0;0;0;0;0;0;10;40;60;0;10;498;0
6211JG;20;10;10;0;0;5;5;5;60;0;0;0;0;10;0;5;0;0;1,9;15;15;0;0;0;0;0;0;0;5;60;40;0;0;446;0
6211JH;60;25;30;0;30;5;10;10;40;0;0;40;20;45;35;10;0;0;1,3;45;45;0;0;0;0;0;0;0;30;20;80;0;5;212;0
6211JJ;40;15;25;0;15;10;0;10;50;0;0;30;20;25;20;10;0;0;1,4;35;35;0;0;0;0;0;0;0;30;30;70;0;15;474;0
6211JK;50;25;25;0;25;10;0;15;40;0;0;40;20;30;15;15;0;0;1,6;35;30;0;0;0;0;0;0;5;25;30;60;0;10;431;0
6211JL;85;45;45;0;30;25;15;15;50;10;0;20;10;65;45;15;0;0;1,3;50;40;0;5;0;5;0;0;0;35;40;60;0;10;408;0
6211JM;60;25;30;0;15;10;0;25;60;0;0;30;10;25;15;10;0;0;1,5;30;20;0;10;0;0;0;0;0;25;0;0;0;5;501;0
6211JN;35;15;20;0;20;10;5;0;30;0;0;50;0;30;30;0;0;0;1,1;15;15;0;0;0;0;0;0;0;10;0;0;0;0;324;0
6211JP;45;25;20;0;15;10;10;15;60;0;0;20;10;30;20;10;0;0;1,5;30;15;0;0;0;0;10;0;5;25;30;70;0;0;413;0
6211JR;20;0;15;0;0;5;0;5;90;0;0;0;0;15;10;0;0;0;1,3;10;10;0;0;0;0;0;0;0;10;0;80;5;0;366;0
6211JS;5;5;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;1;10;10;0;0;0;0;0;0;0;10;0;0;0;0;0;0
6211JV;35;15;20;0;5;10;0;10;40;0;0;50;0;20;5;10;0;0;1,8;25;25;0;0;0;0;0;0;0;20;0;50;0;10;469;0
6211JW;75;35;40;0;30;15;10;20;30;0;0;50;10;65;50;10;0;0;1,2;130;0;0;0;0;95;30;0;0;130;10;90;0;65;166;0
6211JX;50;15;35;5;0;0;10;30;60;10;0;20;0;15;0;5;0;0;2;20;20;0;0;0;0;0;0;0;15;0;70;0;5;717;0
6211JZ;10;0;5;0;0;0;5;0;0;0;0;0;0;5;0;0;0;0;1,6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1139;0
6211KA;50;30;20;10;0;10;15;15;60;10;0;0;20;25;10;5;0;5;2,1;20;20;0;0;0;0;0;0;0;0;90;0;0;0;1076;0
6211KB;20;10;10;0;0;0;5;10;80;0;0;0;0;10;0;5;0;0;2;10;10;0;0;0;0;0;0;0;0;90;0;0;0;935;0
6211KC;40;15;25;5;20;5;0;10;40;0;0;40;20;30;25;0;0;0;1,4;20;20;0;0;0;0;0;0;0;10;50;60;0;0;617;0
6211KG;30;15;15;0;0;5;15;5;70;0;20;0;0;25;15;5;0;0;1,3;25;10;0;0;0;15;0;0;0;20;0;0;0;0;268;10
6211KH;30;15;15;0;25;0;0;0;20;0;0;60;20;25;20;0;0;0;1,3;10;0;0;0;0;0;5;0;0;5;0;60;0;0;289;0
6211KJ;25;10;15;0;20;5;0;0;0;0;0;0;0;25;20;0;0;0;1,1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;283;0
6211KK;10;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;332;0
6211KL;20;10;10;0;20;0;0;0;0;0;0;0;0;20;20;0;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0
6211KN;15;5;10;0;10;0;0;0;30;0;0;40;0;10;5;0;0;0;1,5;15;5;0;0;0;0;0;5;0;10;0;0;0;0;286;0
6211KP;55;25;30;0;25;20;10;0;30;0;0;40;20;45;35;5;0;0;1,3;40;30;0;0;0;0;0;10;0;30;30;70;0;5;320;0
6211KR;50;20;25;0;25;10;5;5;40;0;0;40;10;35;30;5;0;0;1,3;25;20;5;0;0;0;0;0;0;20;20;80;0;0;291;0
6211KS;30;15;15;0;0;0;10;10;60;0;0;30;0;15;10;10;0;0;1,6;20;10;0;0;0;0;5;0;0;10;50;50;0;5;673;0
6211KV;45;25;25;0;5;5;15;20;80;0;0;10;0;30;15;10;0;0;1,6;40;15;0;0;0;15;5;0;0;30;40;60;0;10;482;0
6211KW;95;55;40;0;45;25;10;15;40;0;0;40;10;80;65;10;0;0;1,2;60;40;0;0;0;0;20;0;0;60;20;70;0;10;292;0
6211KX;35;10;25;0;20;5;5;5;50;0;0;40;0;30;25;0;0;0;1,2;20;10;0;0;0;10;0;0;0;15;50;60;0;5;391;0
6211KZ;55;25;25;0;0;0;0;45;80;10;0;0;0;35;15;15;0;0;1,6;35;0;0;0;0;35;0;0;0;35;80;20;0;0;445;0
6211LA;30;5;25;0;15;5;0;5;60;0;0;20;0;20;15;5;0;0;1,4;20;20;0;0;0;0;0;0;0;20;20;70;0;5;266;0
6211LB;10;0;10;0;0;0;0;0;50;0;0;40;0;5;0;0;0;0;1,7;10;5;5;0;0;0;0;0;0;10;50;50;0;0;446;0
6211LC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;10;0;0;0;10;187;0
6211LD;30;10;20;0;10;10;0;0;30;0;0;30;20;25;20;0;0;0;1,3;25;25;0;0;0;0;0;0;0;25;0;0;0;5;240;0
6211LE;35;10;25;0;20;10;0;0;30;0;0;40;20;35;30;0;0;0;1,1;20;20;0;0;0;0;0;0;0;20;0;0;0;5;460;0
6211LG;70;40;30;0;35;10;15;10;40;0;0;40;10;50;40;10;0;0;1,4;20;15;0;0;0;0;0;0;0;10;60;40;0;0;584;0
6211LH;15;0;10;0;0;5;0;5;40;0;0;30;0;10;0;0;0;0;1,5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;851;0
6211LJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;307;0
6211LK;50;25;25;0;20;25;0;0;10;0;0;40;50;35;25;5;0;0;1,4;20;20;0;0;0;0;0;0;0;20;0;0;0;5;205;0
6211LL;30;15;15;0;20;10;0;0;30;0;0;50;20;25;20;0;0;0;1,2;15;10;0;0;0;0;0;0;0;10;0;0;0;0;240;0
6211LM;15;5;10;0;0;5;0;0;30;0;0;50;0;10;5;0;0;0;1,5;10;10;0;0;0;0;0;0;0;5;0;80;0;0;0;0
6211LN;55;20;30;0;30;15;5;0;30;0;0;40;20;35;20;15;0;0;1,5;40;35;0;0;0;0;0;0;0;35;0;80;0;5;249;0
6211LP;40;20;20;0;25;15;0;0;10;0;0;50;30;35;30;5;0;0;1,2;40;40;0;0;0;0;0;0;0;30;0;90;10;15;190;0
6211LR;40;20;25;0;15;15;5;0;50;0;0;40;0;30;20;10;0;0;1,4;30;30;0;0;0;0;0;0;0;25;0;90;0;0;191;0
6211LS;195;75;120;0;15;30;15;135;70;10;0;10;10;50;30;20;0;0;1,6;55;35;0;0;5;0;0;15;0;50;30;70;0;5;356;0
6211LT;65;30;35;0;30;15;0;15;50;0;0;30;10;50;35;15;0;0;1,3;30;20;10;0;0;0;0;0;0;20;40;60;0;0;423;0
6211LV;35;15;20;0;0;10;5;15;60;30;0;0;0;15;5;10;0;0;2,1;20;20;0;0;0;0;0;0;0;10;80;0;0;0;628;0
6211LW;20;10;10;5;0;0;5;0;100;0;0;0;0;5;0;0;0;0;2,6;5;5;0;0;0;0;0;0;0;0;0;0;0;0;444;0
6211LX;130;60;70;10;0;10;15;90;80;10;0;10;10;35;10;20;0;10;2,1;40;0;10;0;0;0;0;0;30;30;80;20;0;0;601;0
6211LZ;45;25;25;0;0;0;15;25;90;0;0;0;0;30;15;10;0;0;1,5;35;5;0;0;0;15;10;10;0;35;20;80;25;5;303;5
6211MA;60;20;40;0;0;10;15;30;80;0;0;0;0;55;50;0;0;0;1,1;55;0;0;0;0;55;0;0;0;55;0;100;0;0;235;10
6211MB;30;20;10;0;0;5;10;10;90;0;0;0;0;25;20;0;0;0;1,2;25;0;0;0;0;25;0;0;0;20;0;0;0;0;212;5
6211MC;50;25;20;0;0;0;25;15;90;0;0;0;0;25;10;10;0;5;1,9;35;0;0;0;0;0;0;0;35;25;50;30;0;10;665;0
6211MV;65;35;30;0;5;25;20;20;70;0;0;10;10;40;15;20;0;0;1,7;40;0;0;0;0;0;0;0;40;40;40;60;0;0;466;0
6211MX;20;10;10;0;0;0;10;0;70;0;0;0;0;5;0;0;0;0;2,9;5;0;0;0;0;0;0;0;5;0;0;0;0;0;572;0
6211MZ;50;25;25;5;0;5;20;20;80;0;0;0;0;25;5;10;0;5;2;30;0;20;0;0;0;0;0;10;20;90;0;0;0;562;0
6211NA;110;55;60;0;0;0;30;80;70;10;0;10;10;100;85;10;0;0;1,1;100;0;100;0;0;0;0;0;0;100;0;100;100;0;134;25
6211NB;50;25;25;0;15;5;10;10;80;0;0;0;0;30;15;0;0;5;1,7;20;0;15;0;0;5;0;0;0;0;70;30;0;0;352;0
6211NC;50;20;25;0;10;10;15;10;70;0;0;10;0;35;25;5;0;0;1,5;30;30;0;0;0;0;0;0;0;25;50;50;0;0;332;0
6211ND;55;25;30;5;25;15;5;0;60;0;0;30;10;35;25;5;0;0;1,5;25;25;0;0;0;0;0;0;0;20;30;60;0;10;320;0
6211NE;125;45;85;0;75;25;10;10;40;0;0;50;10;105;85;15;0;0;1,2;95;35;0;0;50;10;0;0;0;90;20;80;0;15;205;5
6211NG;50;30;20;0;30;15;0;0;50;0;0;30;10;35;30;0;0;0;1,1;25;25;0;0;0;0;0;0;0;25;0;60;0;0;199;15
6211NH;55;25;30;0;10;15;10;15;70;0;0;20;10;40;25;10;0;0;1,4;35;5;0;0;0;30;0;0;0;35;0;90;0;0;233;0
6211NJ;60;25;35;0;40;10;5;0;50;0;0;40;10;50;40;5;0;0;1,3;25;20;0;0;5;0;0;0;0;20;0;0;0;0;287;0
6211NK;35;5;30;0;25;5;0;0;60;0;0;30;0;30;25;5;0;0;1,2;20;20;0;0;0;0;0;0;0;15;0;0;0;0;257;0
6211NL;35;15;20;0;10;5;10;5;50;0;20;0;0;15;5;5;0;0;2,1;15;15;0;0;0;0;0;0;0;0;0;80;10;0;266;0
6211NM;40;15;25;0;10;10;5;5;50;0;0;30;0;30;25;0;0;0;1,3;15;15;0;0;0;0;0;0;0;5;50;50;0;0;341;0
6211NN;55;20;30;0;25;20;5;0;50;0;0;40;0;40;30;10;0;0;1,3;30;30;0;0;0;0;0;0;0;25;20;80;0;0;220;0
6211NP;115;45;70;0;65;40;0;0;20;0;0;50;30;105;95;5;0;0;1,1;35;35;0;0;0;0;0;0;0;20;30;70;0;0;283;0
6211NR;90;45;45;10;35;25;10;5;50;0;0;30;10;60;45;10;0;5;1,5;45;35;0;0;0;0;0;10;5;30;40;60;0;5;290;0
6211NS;75;45;30;0;50;15;5;0;50;0;0;30;10;70;60;0;0;0;1,1;30;5;0;0;0;0;25;0;0;15;30;70;0;0;338;5
6211NT;55;25;30;0;25;15;10;0;50;0;0;30;0;40;25;5;0;0;1,4;30;30;0;0;0;0;0;0;0;15;20;80;5;5;250;0
6211NV;35;15;20;0;10;5;10;0;90;0;0;0;0;25;15;0;0;0;1,5;20;20;0;0;0;0;0;0;0;0;50;50;10;0;297;0
6211NW;30;15;15;0;20;0;0;0;60;0;0;20;0;30;25;0;0;0;1;30;10;0;0;20;0;0;0;0;30;0;90;0;0;122;0
6211NX;35;15;20;0;20;0;10;5;50;0;0;40;0;35;35;0;0;0;1;15;15;0;0;0;0;0;0;0;10;0;0;0;0;1071;0
6211NZ;25;10;15;0;10;10;0;5;40;0;0;30;20;25;20;0;0;0;1,1;20;10;0;0;10;0;0;0;0;15;20;80;10;0;182;0
6211PA;50;20;35;0;35;10;5;0;40;0;0;40;10;45;40;0;0;0;1,1;40;40;0;0;0;0;0;0;0;35;0;90;25;0;188;0
6211PB;55;30;25;0;25;20;5;0;30;0;0;40;20;45;35;10;0;0;1,3;25;20;0;0;0;0;0;0;0;20;20;80;0;0;306;0
6211PC;135;75;55;0;50;55;10;10;50;0;0;40;10;100;80;20;0;0;1,3;90;65;15;5;0;0;0;0;0;85;10;90;0;5;175;0
6211PD;85;35;50;0;35;30;10;5;40;0;10;30;10;70;60;10;0;0;1,2;75;75;0;0;0;0;0;0;0;70;20;70;20;10;183;5
